scenario,duplicate_filter_window_s,method,feature,n_pairs,bonded_mean,nonbonded_mean,paired_difference_mean,paired_difference_sd,paired_difference_ci95_low,paired_difference_ci95_high,paired_effect_dz,ks_distance,wasserstein_distance
medium_flood,60,P3-NoPersist,host_scan_path_rate,20,0.0015,0.083333,-0.081833,0.001701,-0.082579,-0.081088,-48.102556,1.0,0.08184
medium_flood,60,P3-NoPersist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,P3-NoPersist,duplicate_filter_path_rate,20,0.0,0.916667,-0.916667,0.0,-0.916667,-0.916667,0.0,1.0,0.916667
medium_flood,60,P3-NoPersist,rl_path_rate,20,0.001833,0.0,0.001833,0.001701,0.001088,0.002579,1.077549,0.55,0.00184
medium_flood,60,P3-NoPersist,mean_aes_attempts,20,0.757833,42.0,-41.242167,0.855801,-41.617238,-40.867096,-48.191324,1.0,41.245789
medium_flood,60,P3-Persist,defer_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,P3-Persist,mean_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,P3-Persist,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,P3-Persist,cache_path_rate,20,0.996667,0.0,0.996667,0.0,0.996667,0.996667,0.0,1.0,0.996667
medium_flood,60,P3-Persist,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,P3-Persist,host_scan_path_rate,20,0.003333,0.083333,-0.08,0.0,-0.08,-0.08,0.0,1.0,0.08
medium_flood,60,P3-Persist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,P3-Persist,duplicate_filter_path_rate,20,0.0,0.916667,-0.916667,0.0,-0.916667,-0.916667,0.0,1.0,0.916667
medium_flood,60,P3-Persist,rl_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
medium_flood,60,P3-Persist,mean_aes_attempts,20,1.68,42.0,-40.32,0.0,-40.32,-40.32,0.0,1.0,40.32
no_attack,0,BudgetDoS,defer_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,BudgetDoS,mean_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,BudgetDoS,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,BudgetDoS,cache_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,BudgetDoS,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,BudgetDoS,host_scan_path_rate,20,0.0,0.6645,-0.6645,0.01151,-0.669544,-0.659455,-57.731245,1.0,0.664743
no_attack,0,BudgetDoS,budget_skip_path_rate,20,0.0,0.3355,-0.3355,0.01151,-0.340545,-0.330456,-29.147993,1.0,0.335257
no_attack,0,BudgetDoS,duplicate_filter_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,BudgetDoS,rl_path_rate,20,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
no_attack,0,BudgetDoS,mean_aes_attempts,20,1.0,334.908,-333.908,5.801156,-336.450469,-331.365531,-57.558877,1.0,334.03063
no_attack,0,P3-NoPersist,defer_rate,20,0.0,0.173667,-0.173667,0.015964,-0.180663,-0.16667,-10.878493,1.0,0.173418
no_attack,0,P3-NoPersist,mean_delay_ms,20,0.0,173.666667,-173.666667,15.964141,-180.66326,-166.670073,-10.878547,1.0,173.41821
no_attack,0,P3-NoPersist,p95_delay_ms,20,0.0,1000.0,-1000.0,0.0,-1000.0,-1000.0,0.0,1.0,1000.0
no_attack,0,P3-NoPersist,cache_path_rate,20,0.996667,0.0,0.996667,0.0,0.996667,0.996667,0.0,1.0,0.996667
no_attack,0,P3-NoPersist,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,P3-NoPersist,host_scan_path_rate,20,0.003333,0.826333,-0.823,0.015964,-0.829997,-0.816004,-51.552847,1.0,0.823249
no_attack,0,P3-NoPersist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,P3-NoPersist,duplicate_filter_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,P3-NoPersist,rl_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,P3-NoPersist,mean_aes_attempts,20,1.68,416.472,-414.792,8.045927,-418.318283,-411.265717,-51.55304,1.0,414.917222
no_attack,0,P3-Persist,defer_rate,20,0.0,0.003333,-0.003333,0.0,-0.003333,-0.003333,0.0,1.0,0.003333
no_attack,0,P3-Persist,mean_delay_ms,20,0.0,3.333333,-3.333333,0.0,-3.333333,-3.333333,0.0,1.0,3.333333
no_attack,0,P3-Persist,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,P3-Persist,cache_path_rate,20,0.996667,0.0,0.996667,0.0,0.996667,0.996667,0.0,1.0,0.996667
no_attack,0,P3-Persist,reserve_path_rate,20,0.0,0.170667,-0.170667,0.016135,-0.177738,-0.163595,-10.577135,1.0,0.170496
no_attack,0,P3-Persist,host_scan_path_rate,20,0.003333,0.826,-0.822667,0.016135,-0.829739,-0.815595,-50.985353,1.0,0.822837
no_attack,0,P3-Persist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,P3-Persist,duplicate_filter_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,P3-Persist,rl_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,0,P3-Persist,mean_aes_attempts,20,1.68,502.32,-500.64,0.0,-500.64,-500.64,0.0,1.0,500.64
no_attack,60,BudgetDoS,defer_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,BudgetDoS,mean_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,BudgetDoS,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,BudgetDoS,cache_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,BudgetDoS,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,BudgetDoS,host_scan_path_rate,20,0.000167,0.083333,-0.083166,0.000745,-0.083493,-0.08284,-111.590526,1.0,0.083225
no_attack,60,BudgetDoS,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,BudgetDoS,duplicate_filter_path_rate,20,0.916667,0.916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,BudgetDoS,rl_path_rate,20,0.083166,0.0,0.083166,0.000745,0.08284,0.083493,111.590526,1.0,0.083225
no_attack,60,BudgetDoS,mean_aes_attempts,20,0.167166,42.0,-41.832834,0.374914,-41.997147,-41.66852,-111.579771,1.0,41.862331
no_attack,60,P3-NoPersist,defer_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,P3-NoPersist,mean_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,P3-NoPersist,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,P3-NoPersist,cache_path_rate,20,0.996667,0.0,0.996667,0.0,0.996667,0.996667,0.0,1.0,0.996667
no_attack,60,P3-NoPersist,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,P3-NoPersist,host_scan_path_rate,20,0.003333,0.083333,-0.08,0.0,-0.08,-0.08,0.0,1.0,0.08
no_attack,60,P3-NoPersist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,P3-NoPersist,duplicate_filter_path_rate,20,0.0,0.916667,-0.916667,0.0,-0.916667,-0.916667,0.0,1.0,0.916667
no_attack,60,P3-NoPersist,rl_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,P3-NoPersist,mean_aes_attempts,20,1.68,42.0,-40.32,0.0,-40.32,-40.32,0.0,1.0,40.32
no_attack,60,P3-Persist,defer_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,P3-Persist,mean_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,P3-Persist,p95_delay_ms,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,P3-Persist,cache_path_rate,20,0.996667,0.0,0.996667,0.0,0.996667,0.996667,0.0,1.0,0.996667
no_attack,60,P3-Persist,reserve_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,P3-Persist,host_scan_path_rate,20,0.003333,0.083333,-0.08,0.0,-0.08,-0.08,0.0,1.0,0.08
no_attack,60,P3-Persist,budget_skip_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,P3-Persist,duplicate_filter_path_rate,20,0.0,0.916667,-0.916667,0.0,-0.916667,-0.916667,0.0,1.0,0.916667
no_attack,60,P3-Persist,rl_path_rate,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_attack,60,P3-Persist,mean_aes_attempts,20,1.68,42.0,-40.32,0.0,-40.32,-40.32,0.0,1.0,40.32
