suite,m8_experiment,m8_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,unique_attack_rpa,duplicate_filter_window_s,persist_reserve,persist_k,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260614,1800,512,8,1000.0,10000.0,True,0,200,1,20260614,BudgetDoS,True,300,1500,1261539,815.474467,0.60359,0,0.0,0.0,45964.8,0.39641,0,0,0,0,0,8,1016,247416,151384.68,4192
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260614,1800,512,8,1000.0,10000.0,True,0,200,1,20260614,P3-NoPersist,True,300,1500,1260008,863.610692,0.569255,0,0.0,0.0,45944.64,0.430745,0,0,0,0,1442,9,57,22583,151200.96,5232
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260614,1800,512,8,1000.0,10000.0,True,0,200,1,20260614,P3-Persist,True,300,1500,1369372,561.218033,0.952009,0.0,0.0,0.0,46045.44,0.051892,217,0,0,0,2217,2,7,22583,164324.64,6832
m8_algorithm_novelty,main,heavy_flood,m8_main_heavy_flood_s20260614,1800,512,8,1000.0,10000.0,True,0,200,1,20260614,Oracle-Offline,True,300,1500,2563,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,307.56,0
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r50_s20260610,1800,512,8,1000.0,10000.0,True,0,50,1,20260610,P3-Persist,True,300,1500,1358795,550.342244,0.954387,0,0.0,0.0,45460.8,0.051797,196,0,0,0,2259,3,11,22566,163055.4,5632
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r50_s20260611,1800,512,8,1000.0,10000.0,True,0,50,1,20260611,P3-Persist,True,300,1500,1353752,551.87607,0.957082,0,0.0,0.0,45480.96,0.050332,186,0,0,0,2256,3,8,22458,162450.24,5632
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r50_s20260612,1800,512,8,1000.0,10000.0,True,0,50,1,20260612,P3-Persist,True,300,1500,1366355,554.97766,0.957232,0.0,0.0,0.0,45097.92,0.0486,211,0,0,0,2239,1,3,22513,163962.6,5632
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r50_s20260613,1800,512,8,1000.0,10000.0,True,0,50,1,20260613,P3-Persist,True,300,1500,1375931,548.83566,0.955776,0,0.0,0.0,45662.4,0.049562,230,0,0,0,2263,3,5,22620,165111.72,5632
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r50_s20260614,1800,512,8,1000.0,10000.0,True,0,50,1,20260614,P3-Persist,True,300,1500,1369372,561.218033,0.952009,0.0,0.0,0.0,46045.44,0.051892,217,0,0,0,2217,2,7,22583,164324.64,5632
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r100_s20260610,1800,512,8,1000.0,10000.0,True,0,100,1,20260610,P3-Persist,True,300,1500,1358795,550.342244,0.954387,0,0.0,0.0,45460.8,0.051797,196,0,0,0,2259,3,11,22566,163055.4,6032
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r100_s20260611,1800,512,8,1000.0,10000.0,True,0,100,1,20260611,P3-Persist,True,300,1500,1353752,551.87607,0.957082,0,0.0,0.0,45480.96,0.050332,186,0,0,0,2256,3,8,22458,162450.24,6032
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r100_s20260612,1800,512,8,1000.0,10000.0,True,0,100,1,20260612,P3-Persist,True,300,1500,1366355,554.97766,0.957232,0.0,0.0,0.0,45097.92,0.0486,211,0,0,0,2239,1,3,22513,163962.6,6032
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r100_s20260613,1800,512,8,1000.0,10000.0,True,0,100,1,20260613,P3-Persist,True,300,1500,1375931,548.83566,0.955776,0,0.0,0.0,45662.4,0.049562,230,0,0,0,2263,3,5,22620,165111.72,6032
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r100_s20260614,1800,512,8,1000.0,10000.0,True,0,100,1,20260614,P3-Persist,True,300,1500,1369372,561.218033,0.952009,0.0,0.0,0.0,46045.44,0.051892,217,0,0,0,2217,2,7,22583,164324.64,6032
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r200_s20260610,1800,512,8,1000.0,10000.0,True,0,200,1,20260610,P3-Persist,True,300,1500,1358795,550.342244,0.954387,0,0.0,0.0,45460.8,0.051797,196,0,0,0,2259,3,11,22566,163055.4,6832
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r200_s20260611,1800,512,8,1000.0,10000.0,True,0,200,1,20260611,P3-Persist,True,300,1500,1353752,551.87607,0.957082,0,0.0,0.0,45480.96,0.050332,186,0,0,0,2256,3,8,22458,162450.24,6832
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r200_s20260612,1800,512,8,1000.0,10000.0,True,0,200,1,20260612,P3-Persist,True,300,1500,1366355,554.97766,0.957232,0.0,0.0,0.0,45097.92,0.0486,211,0,0,0,2239,1,3,22513,163962.6,6832
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r200_s20260613,1800,512,8,1000.0,10000.0,True,0,200,1,20260613,P3-Persist,True,300,1500,1375931,548.83566,0.955776,0,0.0,0.0,45662.4,0.049562,230,0,0,0,2263,3,5,22620,165111.72,6832
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r200_s20260614,1800,512,8,1000.0,10000.0,True,0,200,1,20260614,P3-Persist,True,300,1500,1369372,561.218033,0.952009,0.0,0.0,0.0,46045.44,0.051892,217,0,0,0,2217,2,7,22583,164324.64,6832
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r400_s20260610,1800,512,8,1000.0,10000.0,True,0,400,1,20260610,P3-Persist,True,300,1500,1358795,550.342244,0.954387,0,0.0,0.0,45460.8,0.051797,196,0,0,0,2259,3,11,22566,163055.4,8432
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r400_s20260611,1800,512,8,1000.0,10000.0,True,0,400,1,20260611,P3-Persist,True,300,1500,1353752,551.87607,0.957082,0,0.0,0.0,45480.96,0.050332,186,0,0,0,2256,3,8,22458,162450.24,8432
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r400_s20260612,1800,512,8,1000.0,10000.0,True,0,400,1,20260612,P3-Persist,True,300,1500,1366355,554.97766,0.957232,0.0,0.0,0.0,45097.92,0.0486,211,0,0,0,2239,1,3,22513,163962.6,8432
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r400_s20260613,1800,512,8,1000.0,10000.0,True,0,400,1,20260613,P3-Persist,True,300,1500,1375931,548.83566,0.955776,0,0.0,0.0,45662.4,0.049562,230,0,0,0,2263,3,5,22620,165111.72,8432
m8_algorithm_novelty,reserve_sensitivity,heavy_flood,m8_reserve_r400_s20260614,1800,512,8,1000.0,10000.0,True,0,400,1,20260614,P3-Persist,True,300,1500,1369372,561.218033,0.952009,0.0,0.0,0.0,46045.44,0.051892,217,0,0,0,2217,2,7,22583,164324.64,8432
m8_algorithm_novelty,threshold_sensitivity,heavy_flood,m8_threshold_k1_s20260610,1800,512,8,1000.0,10000.0,True,0,200,1,20260610,P3-Persist,True,300,1500,1358795,550.342244,0.954387,0,0.0,0.0,45460.8,0.051797,196,0,0,0,2259,3,11,22566,163055.4,6832
m8_algorithm_novelty,threshold_sensitivity,heavy_flood,m8_threshold_k1_s20260611,1800,512,8,1000.0,10000.0,True,0,200,1,20260611,P3-Persist,True,300,1500,1353752,551.87607,0.957082,0,0.0,0.0,45480.96,0.050332,186,0,0,0,2256,3,8,22458,162450.24,6832
m8_algorithm_novelty,threshold_sensitivity,heavy_flood,m8_threshold_k1_s20260612,1800,512,8,1000.0,10000.0,True,0,200,1,20260612,P3-Persist,True,300,1500,1366355,554.97766,0.957232,0.0,0.0,0.0,45097.92,0.0486,211,0,0,0,2239,1,3,22513,163962.6,6832
m8_algorithm_novelty,threshold_sensitivity,heavy_flood,m8_threshold_k1_s20260613,1800,512,8,1000.0,10000.0,True,0,200,1,20260613,P3-Persist,True,300,1500,1375931,548.83566,0.955776,0,0.0,0.0,45662.4,0.049562,230,0,0,0,2263,3,5,22620,165111.72,6832
m8_algorithm_novelty,threshold_sensitivity,heavy_flood,m8_threshold_k1_s20260614,1800,512,8,1000.0,10000.0,True,0,200,1,20260614,P3-Persist,True,300,1500,1369372,561.218033,0.952009,0.0,0.0,0.0,46045.44,0.051892,217,0,0,0,2217,2,7,22583,164324.64,6832
m8_algorithm_novelty,threshold_sensitivity,heavy_flood,m8_threshold_k2_s20260610,1800,512,8,1000.0,10000.0,True,0,200,2,20260610,P3-Persist,True,300,1500,1327039,565.901493,0.906455,0,0.0,0.0,45440.64,0.096637,133,0,0,0,2201,4,22,22566,159244.68,6832
m8_algorithm_novelty,threshold_sensitivity,heavy_flood,m8_threshold_k2_s20260611,1800,512,8,1000.0,10000.0,True,0,200,2,20260611,P3-Persist,True,300,1500,1326538,567.381523,0.912212,0.0,0.0,0.0,45460.8,0.09403,132,0,0,0,2192,4,20,22458,159184.56,6832
m8_algorithm_novelty,threshold_sensitivity,heavy_flood,m8_threshold_k2_s20260612,1800,512,8,1000.0,10000.0,True,0,200,2,20260612,P3-Persist,True,300,1500,1327545,567.326923,0.909798,0.0,0.0,0.0,45077.76,0.09409,134,0,0,0,2195,2,14,22513,159305.4,6832
