suite,m4_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,budget_per_window,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b500_s20260612,1800,512,8,1000.0,10000.0,500,20260612,StaticRL,True,300,1500,138924106,54014.038103,1.0,0.0,0.0,0.0,5033367.36,0.0,0,0,0,0,0,1026,0,0,16670892.72,0
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b500_s20260612,1800,512,8,1000.0,10000.0,500,20260612,P3-NoPersist,True,300,1500,6300007,3511.709588,0.697512,0.0,0.0,0.0,227062.08,0.302877,0,0,0,0,1751,36,54,21683,756000.84,5232
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b500_s20260612,1800,512,8,1000.0,10000.0,500,20260612,P3-NoBudget,True,300,1500,138546593,53867.260109,1.0,0.0,0.0,0.0,5033367.36,0.005443,0,0,0,0,2275,280,0,0,16625591.16,5168
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b1000_s20260610,1800,512,8,1000.0,10000.0,1000,20260610,StaticRL,True,300,1500,138896375,53690.133359,1.0,0,0.0,0.0,5033488.32,0.0,0,0,0,0,0,1052,0,0,16667565.0,0
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b1000_s20260610,1800,512,8,1000.0,10000.0,1000,20260610,P3-NoPersist,True,300,1500,12600005,6379.749367,0.763433,0,0.0,0.0,456361.92,0.240046,0,0,0,0,1901,69,35,20706,1512000.6,5232
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b1000_s20260610,1800,512,8,1000.0,10000.0,1000,20260610,P3-NoBudget,True,300,1500,138505261,53538.948976,1.0,0,0.0,100.0,5033488.32,0.010437,0,0,0,0,2295,279,0,0,16620631.32,5168
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b1000_s20260611,1800,512,8,1000.0,10000.0,1000,20260611,StaticRL,True,300,1500,139097976,54271.547405,1.0,0,0.0,0.0,5040120.96,0.0,0,0,0,0,0,1027,0,0,16691757.12,0
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b1000_s20260611,1800,512,8,1000.0,10000.0,1000,20260611,P3-NoPersist,True,300,1500,12600004,6309.466199,0.779165,0,0.0,0.0,458035.2,0.223956,0,0,0,0,1925,68,50,20620,1512000.48,5232
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b1000_s20260611,1800,512,8,1000.0,10000.0,1000,20260611,P3-NoBudget,True,300,1500,138705854,54118.554038,1.0,0,0.0,100.0,5040120.96,0.010535,0,0,0,0,2297,252,0,0,16644702.48,5168
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b1000_s20260612,1800,512,8,1000.0,10000.0,1000,20260612,StaticRL,True,300,1500,138924106,54014.038103,1.0,0.0,0.0,0.0,5033367.36,0.0,0,0,0,0,0,1026,0,0,16670892.72,0
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b1000_s20260612,1800,512,8,1000.0,10000.0,1000,20260612,P3-NoPersist,True,300,1500,12600007,6363.639899,0.769829,0.0,0.0,0.0,456825.6,0.230949,0,0,0,0,1915,58,34,20634,1512000.84,5232
m4_budget_sensitivity,heavy_flood,m4budget_heavy_flood_b1000_s20260612,1800,512,8,1000.0,10000.0,1000,20260612,P3-NoBudget,True,300,1500,138546593,53867.260109,1.0,0.0,0.0,0.0,5033367.36,0.005443,0,0,0,0,2275,280,0,0,16625591.16,5168
