suite,m6_review_scenario,run_id,duration_s,num_bonded,rl_capacity,background_rpa_rate_per_min,attack_rpa_rate_per_min,unique_attack_rpa,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,True,20260610,P3-NoCache,True,300,1500,1261535,816.527508,0.597217,0,0.0,0.0,45339.84,0.403556,0,0,0,0,0,10,63,22566,151384.2,4208
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260610,1800,512,8,1000.0,10000.0,True,20260610,P3-NoBudget,True,300,1500,138505261,53538.948976,1.0,0,0.0,100.0,5033488.32,0.010437,0,0,0,0,2295,279,0,0,16620631.32,5168
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,True,20260611,StaticRL,True,300,1500,139097976,54271.547405,1.0,0,0.0,0.0,5040120.96,0.0,0,0,0,0,0,1027,0,0,16691757.12,0
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,True,20260611,ZephyrCache,True,300,1500,138708872,54119.731565,1.0,0,0.0,0.0,5040120.96,0.0,0,0,0,0,2297,258,0,0,16645064.64,1024
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,True,20260611,BudgetDoS,True,300,1500,1261536,816.0,0.603199,0.0,0.0,0.0,45339.84,0.396801,0,0,0,0,0,10,1017,247757,151384.32,4192
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,True,20260611,P3-NoPersist,True,300,1500,1260008,800.513342,0.614124,0.0,0.0,0.0,45319.68,0.386266,0,0,0,0,1555,11,102,22459,151200.96,5232
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,True,20260611,P3-NoCache,True,300,1500,1261536,816.0,0.603199,0.0,0.0,0.0,45339.84,0.397191,0,0,0,0,0,10,106,22459,151384.32,4208
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260611,1800,512,8,1000.0,10000.0,True,20260611,P3-NoBudget,True,300,1500,138705854,54118.554038,1.0,0,0.0,100.0,5040120.96,0.010535,0,0,0,0,2297,252,0,0,16644702.48,5168
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,True,20260612,StaticRL,True,300,1500,138924106,54014.038103,1.0,0.0,0.0,0.0,5033367.36,0.0,0,0,0,0,0,1026,0,0,16670892.72,0
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,True,20260612,ZephyrCache,True,300,1500,138551120,53869.020218,1.0,0.0,0.0,0.0,5033367.36,0.0,0,0,0,0,2275,289,0,0,16626134.4,1024
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,True,20260612,BudgetDoS,True,300,1500,1260938,1327.303158,0.369362,0.0,0.0,0.0,44896.32,0.630638,0,0,0,0,0,12,1622,247444,151312.56,4192
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,True,20260612,P3-NoPersist,True,300,1500,1260008,923.759531,0.530327,0.0,0.0,0.0,44956.8,0.470062,0,0,0,0,1347,9,119,22514,151200.96,5232
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,True,20260612,P3-NoCache,True,300,1500,1260938,1327.303158,0.369362,0.0,0.0,0.0,44896.32,0.631415,0,0,0,0,0,12,210,22514,151312.56,4208
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260612,1800,512,8,1000.0,10000.0,True,20260612,P3-NoBudget,True,300,1500,138546593,53867.260109,1.0,0.0,0.0,0.0,5033367.36,0.005443,0,0,0,0,2275,280,0,0,16625591.16,5168
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260613,1800,512,8,1000.0,10000.0,True,20260613,StaticRL,True,300,1500,139569712,53209.955013,1.0,0,0.0,0.0,5052479.04,0.0,0,0,0,0,0,1095,0,0,16748365.44,0
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260613,1800,512,8,1000.0,10000.0,True,20260613,ZephyrCache,True,300,1500,139171544,53058.15631,1.0,0,0.0,0.0,5052479.04,0.0,0,0,0,0,2307,308,0,0,16700585.28,1024
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260613,1800,512,8,1000.0,10000.0,True,20260613,BudgetDoS,True,300,1500,1261528,819.706303,0.586733,0,0.0,0.0,45521.28,0.413267,0,0,0,0,0,11,1084,248361,151383.36,4192
m6_review_closure,long5_heavy_flood,m6close_long5_heavy_flood_s20260613,1800,512,8,1000.0,10000.0,True,20260613,P3-NoPersist,True,300,1500,1260007,778.262508,0.617232,0,0.0,0.0,45521.28,0.382768,0,0,0,0,1601,11,52,22620,151200.84,5232
