run_id,num_bonded,rl_capacity,attack_rpa_rate_per_min,seed,method,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,attack_aes_amplification,false_defer_legit_rate,estimated_energy_uJ,sram_bytes
w3_nb128_rl16_atk1000_s20260530,128,16,1000,20260530,BudgetDoS,347409,461.366534,1.0,0,0.0,0.0,10166.058692,0.0,41689.08,512
w3_nb128_rl16_atk1000_s20260530,128,16,1000,20260530,P3-NoPersist,329972,438.209827,1.0,0,0.0,0.0,10688.735232,0.0,39596.64,512
w3_nb128_rl16_atk10000_s20260530,128,16,10000,20260530,FullScan-Host,38874314,49207.992405,1.0,0.0,0.0,0.0,1282826.671378,0.0,4664917.68,0
w3_nb128_rl16_atk10000_s20260530,128,16,10000,20260530,StaticRL,34015114,43057.106329,1.0,0.0,0.0,0.0,1122473.337456,0.0,4081813.68,512
w3_nb128_rl16_atk10000_s20260530,128,16,10000,20260530,LRU-RL,34019332,43062.44557,1.0,0.0,0.0,0.0,1122473.337456,0.0,4082319.84,512
w3_nb128_rl16_atk10000_s20260530,128,16,10000,20260530,Freq-RL,34015669,43057.808861,1.0,0.0,0.0,0.0,1122473.337456,0.0,4081880.28,512
w3_nb128_rl16_atk10000_s20260530,128,16,10000,20260530,BudgetDoS,345781,437.697468,1.0,0.0,0.0,0.0,11091.75182,0.0,41493.72,512
w3_nb128_rl16_atk10000_s20260530,128,16,10000,20260530,P3-NoPersist,328485,415.803797,1.0,0.0,0.0,0.0,10647.484412,0.0,39418.2,512
w3_nb256_rl16_atk0_s20260530,256,16,0,20260530,FullScan-Host,860125,549.249681,1.0,0.0,0.0,0.0,0.0,0.0,103215.0,0
w3_nb256_rl16_atk0_s20260530,256,16,0,20260530,StaticRL,806445,514.971264,1.0,0.0,0.0,0.0,0.0,0.0,96773.4,512
w3_nb256_rl16_atk0_s20260530,256,16,0,20260530,LRU-RL,842773,538.169221,1.0,0.0,0.0,0.0,0.0,0.0,101132.76,512
w3_nb256_rl16_atk0_s20260530,256,16,0,20260530,Freq-RL,811464,518.176245,1.0,0.0,0.0,0.0,0.0,0.0,97375.68,512
w3_nb256_rl16_atk0_s20260530,256,16,0,20260530,BudgetDoS,782904,499.938697,1.0,0.0,0.0,0.0,0.0,0.0,93948.48,512
w3_nb256_rl16_atk0_s20260530,256,16,0,20260530,P3-NoPersist,20892,13.340996,1.0,0.0,0.0,0.0,0.0,0.0,2507.04,512
w3_nb256_rl16_atk100_s20260530,256,16,100,20260530,FullScan-Host,1626271,1098.089804,1.0,0,0,0.0,26107.020122,0.0,195152.52,0
w3_nb256_rl16_atk100_s20260530,256,16,100,20260530,StaticRL,1524703,1029.509115,1.0,0,0,0.0,24475.331365,0.0,182964.36,512
w3_nb256_rl16_atk100_s20260530,256,16,100,20260530,LRU-RL,1555295,1050.165429,1.0,0,0,0.0,24475.331365,0.0,186635.4,512
w3_nb256_rl16_atk100_s20260530,256,16,100,20260530,Freq-RL,1535697,1036.932478,1.0,0,0,0.0,24475.331365,0.0,184283.64,512
w3_nb256_rl16_atk100_s20260530,256,16,100,20260530,BudgetDoS,803697,542.671843,1.0,0,0,0.0,12065.642268,0.0,96443.64,512
w3_nb256_rl16_atk100_s20260530,256,16,100,20260530,P3-NoPersist,735478,496.609048,1.0,0,0,0.0,22311.03678,0.0,88257.36,512
w3_nb256_rl16_atk1000_s20260530,256,16,1000,20260530,FullScan-Host,8466838,5640.798135,1.0,0,0,0,253448.533333,0.0,1016020.56,0
w3_nb256_rl16_atk1000_s20260530,256,16,1000,20260530,StaticRL,7937734,5288.297135,1.0,0,0,0,237608.0,0.0,952528.08,512
w3_nb256_rl16_atk1000_s20260530,256,16,1000,20260530,LRU-RL,7970477,5310.111259,1.0,0,0,0,237608.0,0.0,956457.24,512
w3_nb256_rl16_atk1000_s20260530,256,16,1000,20260530,Freq-RL,7944426,5292.755496,1.0,0,0,0,237608.0,0.0,953331.12,512
w3_nb256_rl16_atk1000_s20260530,256,16,1000,20260530,BudgetDoS,806346,537.205863,1.0,0,0,0,21744.0,0.0,96761.52,512
w3_nb256_rl16_atk1000_s20260530,256,16,1000,20260530,P3-NoPersist,759065,505.706196,1.0,0,0,0,22920.0,0.0,91087.8,512
w3_nb256_rl16_atk10000_s20260530,256,16,10000,20260530,FullScan-Host,77606816,51565.990698,1.0,0,0.0,0.0,2559220.615294,0.0,9312817.92,0
w3_nb256_rl16_atk10000_s20260530,256,16,10000,20260530,StaticRL,72756464,48343.165449,1.0,0,0.0,0.0,2399269.326838,0.0,8730775.68,512
w3_nb256_rl16_atk10000_s20260530,256,16,10000,20260530,LRU-RL,72793031,48367.462458,1.0,0,0.0,0.0,2399269.326838,0.0,8735163.72,512
w3_nb256_rl16_atk10000_s20260530,256,16,10000,20260530,Freq-RL,72761961,48346.81794,1.0,0,0.0,0.0,2399269.326838,0.0,8731435.32,512
w3_nb256_rl16_atk10000_s20260530,256,16,10000,20260530,BudgetDoS,803721,534.033887,1.0,0,0.0,0.0,23752.211131,0.0,96446.52,512
w3_nb256_rl16_atk10000_s20260530,256,16,10000,20260530,P3-NoPersist,755613,502.068439,1.0,0,0.0,0.0,22820.202846,0.0,90673.56,512
w3_nb512_rl16_atk0_s20260530,512,16,0,20260530,FullScan-Host,2043448,685.031177,1.0,0,0.0,0.0,0.0,0.0,245213.76,0
w3_nb512_rl16_atk0_s20260530,512,16,0,20260530,StaticRL,1979656,663.645994,1.0,0,0.0,0.0,0.0,0.0,237558.72,512
w3_nb512_rl16_atk0_s20260530,512,16,0,20260530,LRU-RL,2163796,725.375796,1.0,0,0.0,0.0,0.0,0.0,259655.52,512
w3_nb512_rl16_atk0_s20260530,512,16,0,20260530,Freq-RL,1994506,668.624204,1.0,0,0.0,0.0,0.0,0.0,239340.72,512
w3_nb512_rl16_atk0_s20260530,512,16,0,20260530,BudgetDoS,1896298,635.701643,1.0,0,0.0,0.0,0.0,0.0,227555.76,512
w3_nb512_rl16_atk0_s20260530,512,16,0,20260530,P3-NoPersist,154537,51.8059,1.0,0,0.0,0.0,0.0,0.0,18544.44,512
w3_nb512_rl16_atk100_s20260530,512,16,100,20260530,FullScan-Host,3516505,1161.712917,1.0,0,0.0,0.0,50814.10073,0.0,421980.6,0
w3_nb512_rl16_atk100_s20260530,512,16,100,20260530,StaticRL,3406681,1125.43145,1.0,0,0.0,0.0,49226.160082,0.0,408801.72,512
w3_nb512_rl16_atk100_s20260530,512,16,100,20260530,LRU-RL,3580921,1182.993393,1.0,0,0.0,0.0,49226.160082,0.0,429710.52,512
w3_nb512_rl16_atk100_s20260530,512,16,100,20260530,Freq-RL,3426481,1131.97258,1.0,0,0.0,0.0,49226.160082,0.0,411177.72,512
w3_nb512_rl16_atk100_s20260530,512,16,100,20260530,BudgetDoS,1951377,644.657086,1.0,0,0.0,0.0,25448.122394,0.0,234165.24,512
w3_nb512_rl16_atk100_s20260530,512,16,100,20260530,P3-NoPersist,1732087,572.212422,1.0,0,0.0,0.0,45538.745336,0.0,207850.44,512
w3_nb512_rl16_atk1000_s20260530,512,16,1000,20260530,FullScan-Host,17321108,5632.88065,1.0,0,0.0,0.0,510913.373928,0.0,2078532.96,0
w3_nb512_rl16_atk1000_s20260530,512,16,1000,20260530,StaticRL,16779892,5456.875447,1.0,0,0.0,0.0,494947.330992,0.0,2013587.04,512
w3_nb512_rl16_atk1000_s20260530,512,16,1000,20260530,LRU-RL,16977397,5521.104715,1.0,0,0.0,0.0,494947.330992,0.0,2037287.64,512
w3_nb512_rl16_atk1000_s20260530,512,16,1000,20260530,Freq-RL,16800682,5463.636423,1.0,0,0.0,0.0,494947.330992,0.0,2016081.84,512
w3_nb512_rl16_atk1000_s20260530,512,16,1000,20260530,BudgetDoS,1946970,633.160976,1.0,0,0.0,0.0,44807.32477,0.0,233636.4,512
w3_nb512_rl16_atk1000_s20260530,512,16,1000,20260530,P3-NoPersist,1779018,578.542439,1.0,0,0.0,0.0,46965.020668,0.0,213482.16,512
w3_nb512_rl16_atk10000_s20260530,512,16,10000,20260530,FullScan-Host,155710617,50294.126938,1.0,0.0,0.0,0.0,5122628.266667,0.0,18685274.04,0
w3_nb512_rl16_atk10000_s20260530,512,16,10000,20260530,StaticRL,150844729,48722.457687,1.0,0.0,0.0,0.0,4962546.133333,0.0,18101367.48,512
w3_nb512_rl16_atk10000_s20260530,512,16,10000,20260530,LRU-RL,151029859,48782.254199,1.0,0.0,0.0,0.0,4962546.133333,0.0,18123583.08,512
w3_nb512_rl16_atk10000_s20260530,512,16,10000,20260530,Freq-RL,150866014,48729.332687,1.0,0.0,0.0,0.0,4962546.133333,0.0,18103921.68,512
w3_nb512_rl16_atk10000_s20260530,512,16,10000,20260530,BudgetDoS,1955406,631.591085,1.0,0.0,0.0,0.0,49120.533333,0.0,234648.72,512
w3_nb512_rl16_atk10000_s20260530,512,16,10000,20260530,P3-NoPersist,1787951,577.503553,1.0,0.0,0.0,0.0,47012.533333,0.0,214554.12,512
w3_nb128_rl8_atk0_s20260530,128,8,0,20260530,FullScan-Host,414668,514.476427,1.0,0.0,0.0,0.0,0.0,0.0,49760.16,0
w3_nb128_rl8_atk0_s20260530,128,8,0,20260530,StaticRL,388788,482.367246,1.0,0.0,0.0,0.0,0.0,0.0,46654.56,512
w3_nb128_rl8_atk0_s20260530,128,8,0,20260530,LRU-RL,399022,495.064516,1.0,0.0,0.0,0.0,0.0,0.0,47882.64,512
w3_nb128_rl8_atk0_s20260530,128,8,0,20260530,Freq-RL,391287,485.467742,1.0,0.0,0.0,0.0,0.0,0.0,46954.44,512
w3_nb128_rl8_atk0_s20260530,128,8,0,20260530,BudgetDoS,375087,465.368486,1.0,0.0,0.0,0.0,0.0,0.0,45010.44,512
w3_nb128_rl8_atk0_s20260530,128,8,0,20260530,P3-NoPersist,5525,6.854839,1.0,0.0,0.0,0.0,0.0,0.0,663.0,512
w3_nb128_rl8_atk100_s20260530,128,8,100,20260530,FullScan-Host,799197,1012.923954,1.0,0,0.0,0.0,12819.402647,0.0,95903.64,0
w3_nb128_rl8_atk100_s20260530,128,8,100,20260530,StaticRL,749285,949.664132,1.0,0,0.0,0.0,12018.189981,0.0,89914.2,512
w3_nb128_rl8_atk100_s20260530,128,8,100,20260530,LRU-RL,760590,963.992395,1.0,0,0.0,0.0,12018.189981,0.0,91270.8,512
w3_nb128_rl8_atk100_s20260530,128,8,100,20260530,Freq-RL,750713,951.474018,1.0,0,0.0,0.0,12018.189981,0.0,90085.56,512
w3_nb128_rl8_atk100_s20260530,128,8,100,20260530,BudgetDoS,384113,486.835234,1.0,0,0.0,0.0,5921.078952,0.0,46093.56,512
w3_nb128_rl8_atk100_s20260530,128,8,100,20260530,P3-NoPersist,348178,441.290241,1.0,0,0.0,0.0,10982.001165,0.0,41781.36,512
w3_nb128_rl8_atk1000_s20260530,128,8,1000,20260530,FullScan-Host,4250293,5644.479416,1.0,0,0.0,0.0,128262.689406,0.0,510035.16,0
w3_nb128_rl8_atk1000_s20260530,128,8,1000,20260530,StaticRL,3984685,5291.746348,1.0,0,0.0,0.0,120246.271318,0.0,478162.2,512
w3_nb128_rl8_atk1000_s20260530,128,8,1000,20260530,LRU-RL,3994205,5304.38911,1.0,0,0.0,0.0,120246.271318,0.0,479304.6,512
