suite,m13_experiment,m13_epoch_min,m13_loss_rate,m13_density,m13_background_mode,background_addr_pool_size,background_repeats_per_addr,background_repeat_interval_s,run_id,duration_s,warmup_s,num_bonded,rl_capacity,seed,method,summary_warmup_applied,summary_warmup_s,summary_measurement_s,aes_attempts_total,aes_attempts_per_legit_resolved,legit_resolution_rate,p50_resolution_delay_ms,p95_resolution_delay_ms,p99_resolution_delay_ms,reserve_grant_legit_p50_delay_ms,reserve_grant_legit_p95_delay_ms,reserve_grant_legit_p99_delay_ms,attack_aes_amplification,false_defer_legit_rate,reserve_grant_legit_count,reserve_grant_attack_count,duplicate_filter_legit_count,duplicate_filter_attack_count,cache_hit_legit_count,host_scan_legit_count,budget_skip_legit_count,budget_skip_attack_count,estimated_energy_uJ,sram_bytes,observation_loss_rate_requested,generated_event_count,observed_event_count,dropped_event_count,actual_observation_loss_rate,generated_legit_event_count,observed_legit_event_count,dropped_legit_event_count,actual_legit_observation_loss_rate,generated_background_event_count,observed_background_event_count,dropped_background_event_count,actual_background_observation_loss_rate,generated_attack_event_count,observed_attack_event_count,dropped_attack_event_count,actual_attack_observation_loss_rate,offered_legit_resolution_rate,observed_legit_resolution_rate,false_defer_observed_legit_rate,reserve_grant_background_count,duplicate_filter_background_count,cache_hit_background_count,host_scan_background_count,budget_skip_background_count
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260621,1800,300,512,8,20260621,P3-Persist,True,300,1500,1359476,788.559165,0.694601,0.0,0.0,0.0,0,100.0,100.0,49714.56,0.310234,197,0,0,0,1330,9,45,22593,163137.12,6832,0.0,305907,305907,0,0.0,2482,2482,0,0.0,2537,2537,0,0.0,250017,250017,0,0.0,0.694601,0.694601,0.310234,0,0,0,25,1874
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260621,1800,300,512,8,20260621,P3-NoPersist,True,300,1500,1260191,1146.67061,0.442788,0,0.0,0.0,0.0,0.0,0.0,49613.76,0.557212,0,0,0,0,894,14,51,22593,151222.92,5232,0.0,305907,305907,0,0.0,2482,2482,0,0.0,2537,2537,0,0.0,250017,250017,0,0.0,0.442788,0.442788,0.557212,0,0,0,25,1874
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260621,1800,300,512,8,20260621,BudgetDoS,True,300,1500,1261427,878.431058,0.578566,0.0,0.0,0.0,0.0,0.0,0.0,49714.56,0.421434,0,0,0,0,0,9,1046,247551,151371.24,4192,0.0,305907,305907,0,0.0,2482,2482,0,0.0,2537,2537,0,0.0,250017,250017,0,0.0,0.578566,0.578566,0.421434,0,0,0,25,2512
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260622,1800,300,512,8,20260622,P3-Persist,True,300,1500,1371068,779.902162,0.709157,0.0,0.0,0.0,0.0,0.0,100.0,49714.56,0.295684,220,0,0,0,1338,12,40,22497,164528.16,6832,0.0,305899,305899,0,0.0,2479,2479,0,0.0,2518,2518,0,0.0,249856,249856,0,0.0,0.709157,0.709157,0.295684,0,0,0,22,1895
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260622,1800,300,512,8,20260622,P3-NoPersist,True,300,1500,1260193,859.613233,0.591367,0.0,0.0,0.0,0.0,0.0,0.0,49714.56,0.409439,0,0,0,0,1261,12,51,22497,151223.16,5232,0.0,305899,305899,0,0.0,2479,2479,0,0.0,2518,2518,0,0.0,249856,249856,0,0.0,0.591367,0.591367,0.409439,0,0,0,22,1895
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260622,1800,300,512,8,20260622,BudgetDoS,True,300,1500,1261443,866.971134,0.58693,0,0.0,0.0,0.0,0.0,0.0,49714.56,0.41307,0,0,0,0,0,12,1024,247390,151373.16,4192,0.0,305899,305899,0,0.0,2479,2479,0,0.0,2518,2518,0,0.0,249856,249856,0,0.0,0.58693,0.58693,0.41307,0,0,0,22,2496
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260623,1800,300,512,8,20260623,P3-Persist,True,300,1500,1380647,769.591416,0.698598,0.0,0.0,100.0,0,100.0,100.0,49714.56,0.30919,239,0,0,0,1360,4,74,22772,165677.64,6832,0.0,305686,305686,0,0.0,2568,2568,0,0.0,2495,2495,0,0.0,249744,249744,0,0.0,0.698598,0.698598,0.30919,0,0,0,30,1856
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260623,1800,300,512,8,20260623,P3-NoPersist,True,300,1500,1260198,859.030675,0.571262,0,0.0,0.0,0.0,0.0,0.0,49714.56,0.428738,0,0,0,0,1265,4,84,22772,151223.76,5232,0.0,305686,305686,0,0.0,2568,2568,0,0.0,2495,2495,0,0.0,249744,249744,0,0.0,0.571262,0.571262,0.428738,0,0,0,30,1856
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260623,1800,300,512,8,20260623,BudgetDoS,True,300,1500,1261463,859.892979,0.571262,0,0.0,0.0,0.0,0.0,0.0,49714.56,0.428738,0,0,0,0,0,4,1101,247278,151375.56,4192,0.0,305686,305686,0,0.0,2568,2568,0,0.0,2495,2495,0,0.0,249744,249744,0,0.0,0.571262,0.571262,0.428738,0,0,0,30,2465
m13_joint_robustness,main,1,0.0,100.0,unique,,,,m13_main_e1_l0_d100_s20260624,1800,300,512,8,20260624,P3-Persist,True,300,1500,1368044,769.861564,0.697684,0,0.0,0.0,0.0,100.0,100.0,49633.92,0.308206,214,0,0,0,1364,11,56,22455,164165.28,6832,0.0,305520,305520,0,0.0,2547,2547,0,0.0,2595,2595,0,0.0,249489,249489,0,0.0,0.697684,0.697684,0.308206,0,0,0,27,1942
