epoch_min,loss_rate,benign_density_rpa_per_min,contrast,metric,n,mean,sd,ci95_low,ci95_high
5,0.0,100.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.326792,0.102546,-0.374785,-0.278799
5,0.0,100.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,83.664,68.996574,51.372609,115.955391
5,0.0,1000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.295901,0.05547,0.26994,0.321862
5,0.0,1000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.295901,0.05547,0.26994,0.321862
5,0.0,1000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.289826,0.054365,-0.31527,-0.264382
5,0.0,1000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,65.52,45.726937,44.119135,86.920865
5,0.0,1000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.286697,0.066479,0.255583,0.31781
5,0.0,1000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.286697,0.066479,0.255583,0.31781
5,0.0,1000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.280446,0.066493,-0.311565,-0.249326
5,0.0,1000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,59.472,43.620105,39.057163,79.886837
5,0.0,5000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.312648,0.069753,0.280002,0.345293
5,0.0,5000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.312648,0.069753,0.280002,0.345293
5,0.0,5000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.306098,0.070264,-0.338982,-0.273213
5,0.0,5000.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,39.312,35.510406,22.692619,55.931381
5,0.0,5000.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.331496,0.10578,0.281989,0.381003
5,0.0,5000.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.331496,0.10578,0.281989,0.381003
5,0.0,5000.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.32473,0.106392,-0.374523,-0.274937
5,0.0,5000.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,38.304,42.84078,18.253898,58.354102
5,0.2,100.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.220362,0.04562,0.199011,0.241713
5,0.2,100.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.276111,0.056336,0.249745,0.302477
5,0.2,100.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.269364,0.056724,-0.295911,-0.242816
5,0.2,100.0,P3-Persist_minus_P3-NoPersist,attack_aes_amplification,20,76.608,44.168347,55.936577,97.279423
5,0.2,100.0,P3-Persist_minus_BudgetDoS,offered_legit_resolution_rate,20,0.240495,0.075802,0.205018,0.275971
5,0.2,100.0,P3-Persist_minus_BudgetDoS,observed_legit_resolution_rate,20,0.301798,0.096532,0.256619,0.346976
5,0.2,100.0,P3-Persist_minus_BudgetDoS,false_defer_observed_legit_rate,20,-0.294757,0.096036,-0.339703,-0.249811
5,0.2,100.0,P3-Persist_minus_BudgetDoS,attack_aes_amplification,20,81.648,80.500616,43.972552,119.323448
5,0.2,1000.0,P3-Persist_minus_P3-NoPersist,offered_legit_resolution_rate,20,0.213556,0.048196,0.191,0.236112
5,0.2,1000.0,P3-Persist_minus_P3-NoPersist,observed_legit_resolution_rate,20,0.2673,0.06065,0.238915,0.295685
5,0.2,1000.0,P3-Persist_minus_P3-NoPersist,false_defer_observed_legit_rate,20,-0.260709,0.059838,-0.288714,-0.232704
