run_id,event_id,ts_ms,source_type,device_id,addr_type,rpa_epoch,rssi_dbm,payload_len,rpa_value
paper_walkthrough,424,141970,attack,,rpa,420,-66.81,15,A420
paper_walkthrough,425,142240,attack,,rpa,427,-62.18,24,A427
paper_walkthrough,426,142378,attack,,rpa,428,-59.53,22,A428
paper_walkthrough,427,142535,attack,,rpa,425,-74.44,29,A425
paper_walkthrough,428,142585,attack,,rpa,426,-74.69,19,A426
paper_walkthrough,429,143265,attack,,rpa,429,-64.14,30,A429
paper_walkthrough,430,143605,attack,,rpa,430,-64.13,23,A430
paper_walkthrough,431,144006,attack,,rpa,433,-65.27,21,A433
paper_walkthrough,432,144223,background,,rpa,2,-79.28,28,B432
paper_walkthrough,433,144328,background,,rpa,2,-79.08,27,B431
paper_walkthrough,434,145045,attack,,rpa,435,-69.27,20,A435
paper_walkthrough,435,145072,attack,,rpa,434,-69.21,21,A434
paper_walkthrough,436,146128,attack,,rpa,438,-60.22,16,A438
paper_walkthrough,437,146233,attack,,rpa,437,-61.77,18,A437
paper_walkthrough,438,146773,attack,,rpa,439,-70.38,24,A439
paper_walkthrough,439,146865,background,,rpa,2,-85.1,20,B436
paper_walkthrough,440,147182,background,,rpa,2,-86.52,13,B440
paper_walkthrough,441,147646,attack,,rpa,441,-79.38,14,A441
paper_walkthrough,442,147676,attack,,rpa,442,-61.26,23,A442
paper_walkthrough,443,148358,non_rpa,,non_rpa,0,-75.9,17,
paper_walkthrough,444,148535,attack,,rpa,443,-62.96,23,A443
paper_walkthrough,445,148683,attack,,rpa,445,-69.61,22,A445
